veracity,Claim_by,Claim
BLATANT LIE,Claim by newspunch.com, Official Study Concludes That Masks Caused More COVID.
MOSTLY TRUE,Claim by USA Freedom Fund (R), “Kathy Barnette wants to build a statue of Barack Obama right next to the one of Abraham Lincoln on Capitol Hill.”
MOSTLY TRUE,Claim by Alexandria Ocasio-Cortez (D), Trump Vowed SCOTUS Picks Would End Roe v. Wade.
FALSE,Claim by Viral Image, claims former Republican South Carolina Rep. Trey Gowdy attended the premiere of conservative filmmaker Dinesh D’Souza’s film “2000 Mules” at former President Donald Trump’s Mar-A-Lago residence.
BLATANT LIE,(International, Polish Armed Forces Wrote Letter Announcing Plan To Send ‘Airborne Units’ To Ukraine
FALSE,Claim by Alexandria Ocasio-Cortez (D)," “In Texas, Republicans passed a law allowing rapists to sue their victims for getting an abortion.”"
BLATANT LIE,Claim by Viral Image," claims the U.S. military raided and subsequently destroyed a Moderna vaccine warehouse in Kansas City, Missouri."
MOSTLY FALSE,Claim by Tom Tiffany (R), The Biden administration has been “recklessly releasing potentially dangerous Afghans into our communities.”
TRUE,Claim via Social Media," 40 percent of baby formula products are out of stock in the United States, forcing some mothers to drive hours away to find the necessary product."
FALSE,Claim by White House Tweet, “When President Biden took office … there was no [COVID-19] vaccine available.”
FALSE,(International, Quebec passed bill eliminating parental primacy and increasing government power to make decisions regarding children.
FALSE,Claim via Social Media," “Is ANYONE asking how Ron DeSantis was worth $340,000 in 2020 and is now worth $52 million?”"
BLATANT LIE,Claim via Rumble Video," Burning Food Factories, Bird Flu, & Engineered Food Crisis."
MOSTLY FALSE,Claim by Aaron Lieberman (D)," “Kari Lake has been appearing at rallies with neo-Nazis,” while “two federal juries have found” Katie Hobbs “guilty of racial discrimination.”"
BLATANT LIE,Claim by J.D. Vance (R)," “If you wanted to kill a bunch of MAGA voters in the middle of the heartland, how better than to target them and their kids with this deadly fentanyl? … It does look intentional.”"
MOSTLY TRUE,Claim by Joe Biden (D), “We produced more oil domestically in my first year in office than my predecessor did in his first year.”
FALSE,(International, Australia’s 2021 official death statistics provide evidence COVID-19 vaccines have caused thousands of excess deaths.
FALSE,Claim via Social Media, Supreme Court Justices Amy Coney Barrett and Samuel Alito said that the U.S. needs a “domestic supply of infants” to meet the needs of parents seeking to adopt.
BLATANT LIE,Claim by Dr. Ryan Cole, The World Health Organization receives 70 per cent of its funding from the pharmaceutical industry.
MOSTLY FALSE,Claim by Dave McCormick (R), Mehmet Oz is “pro-abortion.”
BLATANT LIE,Claim by Occupy Democrats, Individuals Who Seek An Abortion in Ala. Are ‘Thrown In Prison For Life’
TRUE,Claim by Kelda Roys (D)," Due to U.S. Senate rules, Democrats need “more than a majority … to codify Roe vs. Wade.”"
FALSE,(International, Australia’s longest-running weather station shows no pattern of warming since temperature records were first collected in 1862.
TRUE,Claim by Eric Toney (R)," The state crime lab under Attorney General Josh Kaul “is testing significantly less items than former AG Brad Schimel and is still taking longer to test many categories of key items in comparison to Schimel, including DNA.”"
BLATANT LIE,Claim by Viral Rumor, claims 438 illegal immigrants were removed from Walt Disney World by the Florida Department of Labor.
BLATANT LIE,Claim via Social Media, “GOP Sen. Marsha Blackburn has proposed that birth control should only be legal for MARRIED couples.”
FALSE,Claim by Donald Trump (R), Did Johnson & Johnson owner attend Trump rally in Pennsylvania?
FALSE,Claim by Pam Keith (D)," “Tennessee just banned Plan B and made it a crime punishable by a $50,000 fine to order it.”"
FALSE,(International," “After the collapse of the Soviet Union, the United States and its satellites deployed a network of biolaboratories in the space of the former Soviet republics – in Georgia, Ukraine, Azerbaijan, Uzbekistan, Kazakhstan, and Armenia …”"
FALSE,Claim via Social Media, “Roe v. Wade happened because a woman lied about being raped by black men.”
FALSE,Claim by The Other 98%, The corporate tax rate under Eisenhower was 90%
BLATANT LIE,Claim by National Republican Senatorial Committee, “Republicans DO NOT want to throw doctors” in jail.
BLATANT LIE,Claim by Viral Post, claims Republican North Dakota Sen. Kevin Cramer stated that saving a fetus is worth losing the mother’s life.
FALSE,Claim by Mike Franken (D)," “Senator Grassley hopped off the Finance Committee, where he could be helpful to Iowa and the nation, in favor of the Judiciary Committee”"
FALSE,(International," Algae ponds can capture all the carbon dioxide from coal-fired power stations, resulting in zero-emissions energy."
MOSTLY FALSE,Claim by One America News, “Pfizer tries to hide 2.4K full-time hires handling vax injuries.”
BLATANT LIE,Claim by Viral Video, claims North Atlantic Treaty Organization (NATO) forces attacked Russian soldiers heading toward the Ukrainian border.
BLATANT LIE,Claim by Social media posts, A rash of “mysterious” fires at food-processing plants is “obviously suspicious and it could lead to serious food shortages.”
FALSE,Claim by Epoch Times," mRNA COVID-19 vaccines accumulate in the ovaries, change menstrual cycles, and lead the immune system to mount “an immune response to their own placental protein”"
FALSE,Claim by Elon Musk, NBC News “covered up Hunter Biden laptop story.”
BLATANT LIE,(International, Videos show that Ukraine President Volodymyr Zelenskyy uses cocaine.
TRUE,Claim by Andrea Stewart-Cousins," When the New York State Senate voted to legalize abortion in 1970, 12 Republican senators voted in favor of it."
FALSE,Claim by AnonHQ, The SARS-CoV-2 virus was engineered in a laboratory and deliberately released
BLATANT LIE,Claim by Meme, President Joe Biden has “[s]topped abortion.”
FALSE,Claim by Miamistandard.news, California introduces a bill that would allow mothers to kill their babies up to 7 days after birth
FALSE,Claim by Dennis Prager," When there is “a noose on a college dorm of a Black student” or a racial slur “on a dormitory building, the odds are overwhelming that a Black student actually did that.”"
BLATANT LIE,(International," Two days before the elections, the Department of Health will report a surge in COVID-19 cases and attribute it to Leni Robredo’s campaign rallies"
MOSTLY TRUE,Claim by Jeffrey Toobin," “There has never been a leak anything like this” draft of a Supreme Court opinion that would overturn Roe v. Wade. “There’s never been a leak of a vote — much less an actual opinion, much less in a case of this significance.”"
BLATANT LIE,Claim by Dan Bongino," “the CGG CGG coding […] does not appear in nature”, this and the furin cleavage site from the SARS-CoV-2 spike protein gene suggests the virus wasn’t transmitted from animals to humans"
FALSE,Claim by The Gateway Pundit," State totals minus illegal ballot trafficking numbers give President Trump decisive victories in AZ, GA, MI, PA, and WI.”"
FALSE,Claim by Alexandria Ocasio-Cortez (D)," “In Texas, Republicans passed a law allowing rapists to sue their victims for getting an abortion.”"
TRUE,Claim by Lee Zeldin (R), “New York leads the U.S. in population loss.”
BLATANT LIE,(International, “We categorically do not accept any war. We have done and are doing everything now so that there isn’t a war.”
TRUE,Claim by Elizabeth Warren (D), Overturning Roe v. Wade is unpopular with Americans.
BLATANT LIE,Claim via Social Media, “White House physician demands Biden’s immediate resignation following his ‘obvious’ cognitive decline.”
FALSE,Claim by Children’s Health Defense, Inhaled Microplastics Found in Lung Tissue—Are Face Masks Contributing to the Problem?
FALSE,Claim by Jeanine Pirro, “There are 63 million abortions a year in this country.”
MOSTLY FALSE,Claim by Alejandro Mayorkas (D)," “You know what happens to these individuals? They are either expelled under the Title 42 of the CDC, or they are placed into immigration enforcement proceedings. They make their claims under the law. If those claims don’t prevail, they are promptly removed from the United States…"
BLATANT LIE,(International, “Russia is the only country that delivers direct humanitarian aid to people … Sometimes Russian humanitarian caravans are bombed with weapons that NATO supplies to Ukraine.”
MOSTLY TRUE,Claim by Don Beyer (D)," “… Justices Gorsuch, Kavanaugh, and Barrett assured the Senate Judiciary Committee and the American people that Roe v. Wade was ‘established precedent.’”"
BLATANT LIE,Claim via Social Media, Elon Musk suspended Bill Gates from Twitter.
FALSE,Claim by Dinesh D’Souza," There were “400,000 illegal votes” cast in the 2020 presidential election"
FALSE,Claim by Pramila Jayapal (D), Billionaire Elon Musk paid an effective tax rate of only 3.27 percent from 2014 to 2018.
MOSTLY FALSE,Claim by Ron DeSantis (R)," “The student debt that is out there, almost 60% of it is graduate school debt.”"
MOSTLY FALSE,(International," The number of first-home buyers in 2021 was nearly 70,000 higher than when Labor was in government."
FALSE,Claim by Republican National Senatorial Committee, Sen. Mark Kelly voted “for benefits to illegals.”
BLATANT LIE,Claim by Viral Image," claims five kids from Wichita, Kansas died from fentanyl-laced marijuana in a single day in April."
FALSE,Claim via Social Media," “Tylenol is the #1 cause of acute liver failure in the US with 27% of people dying & kills at least 100,000 per year from its use.”"
FALSE,Claim by Modern Alternative Mama," Certain medicines and compounds like folic acid “deplete folate, which is very serious for those with MTHFR”"
BLATANT LIE,Claim by viral tweet from right-wing activist Mercedes Schlapp, Bill Gates is purchasing “a majority of American farmland.”
FALSE,(International," Under the Tories, families are £2,620 worse off."
FALSE,Claim by Ohio Gun Owners," Matt Dolan sponsored Michael Bloomberg’s “red-flag gun confiscation law, letting the people reporting your social media posts send SWAT teams to your house to take your guns.”"
BLATANT LIE,Claim via Social Media, Donald Trump invited all the Great MAGA Patriots to BOYCOTT the midterm elections in November
FALSE,Claim by Sean Hannity," Conservatives gained Twitter followers after the company announced its deal with Elon Musk because “Twitter lifted a broad anti-conservative, anti-Trump shadow ban.”"
FALSE,Claim by Viral Post, U.S. pharmaceutical company Pfizer requested to have its public shares delisted from the New York Stock Exchange (NYSE).
FALSE,Claim via Social Media, “Kids are getting hepatitis. It’s being caused be an adenovirus. J&J had an adenovirus vector. Couldn’t possibly be related.”
FALSE,(International," “Thanks to President of the Russian Federation V.V. Putin’s initiative, 80 civilians, including women and children, held by the Ukrainian nationalists have been rescued from the territory of the Azovstal factory in Mariupol.”"
BLATANT LIE,Claim via Viral Image," “Disneyland estates have been used for MK-ULTRA mind control, human trafficking, occult rituals, and parading sexual deviants.”"
BLATANT LIE,Claim by The Expose, Are child hepatitis cases linked to COVID-19 vaccines?
MOSTLY TRUE,Claim via Social Media, “The Red Cross sells your donated blood to hospitals for $150 and then that hospital charges you thousands for a blood transfusion.”
FALSE,Claim by Viral Image," claims the state of Georgia found “over 1,600 instances of noncitizens voting in 2020.”"
TRUE,Claim by Kathy Hochul (D)," Since taking office, Hochul has passed more than 400 new bills"
MOSTLY FALSE,(International," On any given night in Australia, more than 100,000 people do not have a roof over their head."
FALSE,Claim by Republican National Committee, ‘They’re not somebody else’s children. They’re yours when you’re in the classroom.’”
BLATANT LIE,Claim by Yahdan Yada," “HIV was an invention created by the West”, people “took the HIV medication and got HIV”, you can “reverse HIV naturally”"
FALSE,Claim via Social Media, “Alkaline foods” can heal the body of cancer.
BLATANT LIE,Claim via Social Media, Purportedly shows a commercial from the World Economic Forum (WEF) in which a mother is chastised for the environmental impact of having children.
MOSTLY FALSE,Claim by Joe Biden (D)," The bipartisan infrastructure law “gives communities the money they need to get forever chemicals, PFAS off, out of the water. … [W]e’re going to get rid of it all.”"
MOSTLY FALSE,(International, It is more difficult and expensive to see a doctor in Australia than ever before.
FALSE,Claim by Democratic Senatorial Campaign Committee, “Republicans’ (Rick Scott) plan would make Social Security disappear.”
BLATANT LIE,Claim by Viral Rumor, Claims Twitter suspended Microsoft co-founder Bill Gates from its platform.
FALSE,Claim by Pennsylvania Conservative Fund, Mehmet Oz “was a spokesman for a group who wanted to defund the police.”
TRUE,Claim by Michael McFaul (D), Joe Biden’s $33bn Ukraine plan worth half Russia’s military budget
FALSE,Claim by Club for Growth," That J.D. Vance said, “People who voted for Trump voted for him for racist reasons.”"
FALSE,(International, claims Finland’s Supreme Court ruled that sex with children is “permitted.”
BLATANT LIE,Claim by David Perdue (R), A consent decree approved by Gov. Brian Kemp “invalidated all voter ID law” and “allowed fraudulent ballots to be accepted” in the 2020 race.
BLATANT LIE,Claim by Keven McCarthy (R), “We are watching what’s happening in the country … parents that are being attacked by the attorney general saying that somehow they are terrorists because they want to go to school board meetings.”
TRUE,Claim by Melissa Agard (D)," Cannabis reform “is supported by the majority of the residents of our state, including a majority of Republicans.”"
BLATANT LIE,Claim by Sen. Martin Heinrich (D), No Republicans voted for the Infrastructure bill.
FALSE,Claim by Social media post, “sooooo Red Cross won’t use vaxxed blood ??”
FALSE,(International, A “physics professor” says a mind-control weapon was used successfully in the Gulf War to force Iraqi troops to surrender.
FALSE,Claim via Social Media, “DeSantis erases Disney’s tax exempt law. Will cost Disney $200 Mil in taxes. Per year!”
BLATANT LIE,Claim via Social Media, Lyme Disease Was Invented In A Lab In 1975.
MOSTLY TRUE,Claim by Claudia Tenney (R)," In 2021, “11,201 pounds of fentanyl were seized by Customs and Border Protection, which is enough to kill every American nearly seven times over.”"
BLATANT LIE,Claim by Viral Image," allegedly shows a headline from The Washington Post that reads, “China is forcing hundreds of millions of new trees to exist every year.”"
FALSE,Claim via Social Media, My Pillow CEO Mike Lindell is back on Twitter after Elon Musk takeover.
FALSE,(International, Scott Morrison did not propose that asylum seeker boards should be turned back during the lead-up to the 2013 election.
FALSE,Claim via Social Media, “The same system that kept you in the dark about Ghislaine Maxwell…doesn’t mind live-streaming Johnny Depp’s trial.”
BLATANT LIE,Claim by Kevin McCarthy (R), “I have never asked the president to resign. So what the book said was not true.”
TRUE,Claim by Ted Nugent, Has a Wikipedia Co-Founder Complained About the Site’s Liberal Bias?
BLATANT LIE,Claim by Viral Post, claims CNN anchor Chris Wallace quit the network after only three weeks on the air.
FALSE,Claim by Rima Laibow, Squalene in vaccines caused Gulf War Syndrome; the World Health Organization aims to depopulate the world with sterility-causing vaccines
FALSE,(International," “There is no country in the world that treats journalists more cruelly than Ukraine, the regime simply cannot stand freedom of speech …”"
FALSE,Claim via Social Media, “The White House presented commemorative coins” dedicated to Ukraine President Volodymyr Zelenskyy.
BLATANT LIE,Claim via Social Media, Majorie Taylor Greene wore an earpiece during testimony.
MOSTLY FALSE,Claim by Joe Biden (D)," “After their massive tax giveaway to the superwealthy and giant corporations in 2017, congressional Republicans now want to raise taxes on middle class families”"
BLATANT LIE,Claim via viral video, A video shows the Russian warship Moskva exploding.
FALSE,Claim via Social Media, Kids Getting Hepatitis Related To JJ Vaccine Adenovirus Vector.
FALSE,(International, The Chinese Communist Party owns and controls some of Australia’s most popular milk brands.
FALSE,Claim by Viral Image, Joe Biden’s comments prove that food shortages are being “done deliberately by the governments of the world.”
BLATANT LIE,Claim via Social Media," Hormonal birth control is associated with “PCOS [polycystic ovarian syndrome], hormonal imbalances, depression, and infertility”"
MOSTLY FALSE,Claim by American Leadership Action, “[Dave] McCormick’s woke Connecticut hedge fund supported Black Lives Matter.”
BLATANT LIE,Claim by Viral Image," allegedly shows a Fox News chyron quoting Republican Texas Sen. Ted Cruz’s wife, Heidi Cruz, as saying, “Ted Does Not Tan His Testicles.”"
TRUE,Claim via Social Media," Students at a Missouri public school were given a math assignment referencing Maya Angelou’s sexual abuse, sex work."
FALSE,(International, Did Finnish Parliament Vote to Join NATO?
FALSE,Claim via Social Media, Bath and Body Works products are not recommended during pregnancy because they are suspected of “damaging fertility or the unborn child.”
BLATANT LIE,Claim by Newspunch," Vaccines Are Killing People Of Color At Twice The Rate Of White People, HHS Said"
BLATANT LIE,Claim by Epoch Times via Joseph Mercola, “Pfizer Knew About Immunosuppression”; “Fully Vaxxed Are More Likely to Die From COVID”
BLATANT LIE,Claim by “Watch The Water”," COVID-19 is a synthetic version of “snake venom” that evil forces are spreading through remdesivir, the COVID-19 vaccines and drinking water to “make you a hybrid of Satan.”"
TRUE,Claim via Social Media, a screenshot of a Newsmax segment that purportedly included Ben Shapiro as an example of a black conservative.
FALSE,(International," “1,464 Ukrainian servicemen laid down their arms and surrendered. They are not subjected to violence or psychological pressure.”"
FALSE,Claim by Scott Bedke (R), “Joe Biden’s Justice Department labeled parents ‘domestic terrorists.'”
BLATANT LIE,Claim by Viral Post, claims 46 states have performed vote recounts that confirmed President Joe Biden lost the 2020 presidential election.
FALSE,Claim by Donald Trump (R), Brian Kemp and Secretary of State Brad Raffensperger “perhaps in collusion with the Radical Left Democrats” are attempting to “unseat” U.S. Rep. Marjorie Taylor Greene.
BLATANT LIE,Claim by dailyexpose.uk, U.S. Department Of Defense Did Award A Contract For ‘COVID-19 Research’ In Ukraine 3 Months Before Virus Was Known To Exist.
FALSE,Claim via Social Media, “California Democrats are trying to legalize killing children up to the age of 28 days.”
FALSE,(International," “I wish success for our heroic soldiers involved in this operation, which we are carrying out in close cooperation with the central Iraqi government and the regional administration.”"
MOSTLY TRUE,Claim by Mike Gallagher (R), “Inflation has gone up every month of the Biden presidency and just hit another 40-year high.”
BLATANT LIE,Claim via Social Media, Klaus Schwab says property ownership is unsustainable in WEF tweet
FALSE,Claim by Charlie Crist (D), Says he has “always” believed “in a woman’s right to choose.”
BLATANT LIE,Claim via Social Media, Google Maps has opened all military and strategic facilities in Russia they have become available in maximum resolution
FALSE,Claim via Social Media, “turmeric prevents cancer.”
FALSE,(International, There are more people in work than there were before the pandemic.
MOSTLY TRUE,Claim by Raphael Warnock (D)," “While the initial increase in oil prices resulted in a near instantaneous increase in gas prices for consumers, the subsequent decrease in crude oil prices has failed to meaningfully provide relief for Georgia’s families at the pump.”"
FALSE,Claim by Viral Image, alleges Japan has the lowest infant mortality rate while the U.S. has the highest and suggests vaccines play a role in the difference.
FALSE,Claim via Social Media, Social Security Payment Will Become A ‘Federal Benefit Payment’
BLATANT LIE,Claim via Social Media," Vladimir Putin “released 35,000 children from tunnels and subway in Ukraine.”"
FALSE,Claim via Social Media, Before Obama we had no ISIS.
FALSE,(International, New Zealand’s Digital Identity Trust Framework Bill allows government control over people’s banking.
MOSTLY TRUE,Claim by Tony Kurtz (R), If Wisconsin Gov. Tony Evers “had passed his (gas) tax increases … fuel prices would be at least a dime higher.
BLATANT LIE,Claim by Viral Rumor, Purportedly shows a news article claiming that Disney’s CEO admitted “going woke” was a “huge mistake.”
FALSE,Claim via Social Media, “Leftist justice reform” is the reason that the NYC subway shooting suspect wasn’t in jail at the time of the attack.
BLATANT LIE,Claim via Social Media, Putin Did End The Rothschild’s Control Over Russia By Nationalizing The Russian Central Bank
FALSE,Claim by Mehmet Oz (R)," Dave McCormick is “liberal, pro-Biden, pro-China.”"
FALSE,(International, No empire in history has existed for more than 250 years.
FALSE,Claim via Social Media, George Soros injected “$33 million” into Black Lives Matter.
BLATANT LIE,Claim by Social media posts, Bill Gates said a cow emits more pollution than a car.
FALSE,Claim via Social Media, Ukraine was responsible for the Kramatorsk train station bombing.
BLATANT LIE,Claim by Dr. Peter McCullough, There is a connection between the COVID-19 vaccine and hepatitis C.
FALSE,Claim by Naomi Wolf, An American Medical Association document confirms Pfizer’s COVID-19 vaccine ingredients and effects vary depending on their “batch”.
TRUE,(International, The coalition government increased development aid for the Pacific region by 50 percent.
FALSE,Claim by Mary Miller (R)," The Biden Administration is engaging in extreme ‘woke’ politics by encouraging children to take chemical castration drugs and undergo surgeries, and they are lying to children by telling them puberty blockers are “reversible.”"
TRUE,Claim by Turning Point USA, The founder of Kwanzaa is a convicted felon who kidnapped and tortured two women.
BLATANT LIE,Claim via Social Media, Christine Blasey Ford and Brett Kavanaugh were actors wearing masks during Kavanaugh’s U.S. Supreme Court confirmation hearing.
BLATANT LIE,Claim by Viral Video, purports to show a BBC News report alleging that Ukraine was responsible for a rocket attack that killed 50 Ukrainian civilians at a railway station.
BLATANT LIE,Claim via Social Media, The Brooklyn subway attack was a false flag.
FALSE,(International," There were 2,000 excess deaths in New Zealand while the vaccine was being rolled out."
MOSTLY FALSE,Claim by Sarah Godlewski (D)," “Ron Johnson is trying to let insurance companies deny coverage to people with pre-existing conditions like cancer, depression, pregnancy, diabetes—or even COVID.”"
FALSE,Claim via Social Media, Healthy People DO not Die From COVID-19.
MOSTLY FALSE,Claim by Rebecca Kleefisch (R), “As your Lieutenant Governor…I cut your taxes.”
BLATANT LIE,Claim by Viral Video, purportedly shows President Joe Biden and newly-confirmed Supreme Court Justice Ketanji Brown Jackson celebrating the ousting of Pakistani Prime Minister Imran Khan.
FALSE,Claim via Social Media, McDonald’s added xylitol to its ice cream which is toxic to dogs.
FALSE,(International, High Vaccination Rate does not Explain Why 92% Of English COVID Deaths Are Among Fully Vaccinated
FALSE,Claim via Social Media, You cannot go 5 miles over speed limit” in North Carolina.
FALSE,Claim by dailyexpose.uk," Deaths Of More Than 4,000 Babies Due To COVID Shots are Found In US Vaccine Adverse Event Reporting System Data"
FALSE,Claim by Occupy Democrats, The chairman of Virginia’s Republican Party made a “shockingly racist post” about Defense Secretary Lloyd Austin.
BLATANT LIE,Claim by Viral Image, allegedly shows a statement released by former President Donald Trump that refers to former Vice President Mike Pence as a “dog.”
MOSTLY TRUE,Claim by Dave McCormick (R), Mehmet Oz “called for a New Zealand-style gun ban” and said “Americans should have less access to guns.”
FALSE,(International," “The West demonstrates totalitarian intolerance towards alternative points of view. Democracy, liberalism, pluralism are not observed here. On the contrary, censorship and arbitrariness are intensifying.”"
FALSE,Claim by Get Georgia Right," Brian Kemp “dismissed concerns about voter fraud in the 2020 election” and “widespread illegal ballot harvesting continued, electing two Democrat senators.”"
BLATANT LIE,Claim by Viral Image, Alexandria Ocasio-Cortez proposed a 10% tax on white people.
FALSE,Claim by Joe Biden (D)," “You couldn’t buy a cannon when, in fact, the Second Amendment passed.”"
BLATANT LIE,Claim by Viral Post, claims a New York airport took legal possession of one of former President Donald Trump’s airplanes.
FALSE,Claim via Social Media," Disney+ has had over 350,000 cancellations in the last five days."
FALSE,(International, Nigeria’s debt has increased by N4 trillion in the past six years.
FALSE,Claim by One America News, Suggests ivermectin is an effective treatment for COVID-19.
BLATANT LIE,Claim by Charlotte Gerson, “Toothpaste is poisonous”; “fluoride is a neurotoxin” and doesn’t prevent tooth decay.
BLATANT LIE,Claim via Social Media, The COVID-19 vaccines contain “HIV lipid wrappers.”
BLATANT LIE,Claim by rumble.com, COVID-19 IS not A Virus And Is Snake Venom Being Used To poison People and Turn Them Into Satanic Hybrids.
BLATANT LIE,Claim via Social Media, Gilbert Gottfried died from the COVID-19 vaccine.
FALSE,(International, No child under the age of two is vaccinated in Japan.
MOSTLY FALSE,Claim by Joe Biden (D), “70% of increased prices in March came from Putin’s price hike in gasoline“
BLATANT LIE,Claim by Viral Image," allegedly shows a CNN chyron that reads, “Elon Musk could threaten free speech on Twitter by allowing people to speak freely.”"
FALSE,Claim via Social Media, People protesting the Dakota Access pipeline “were intentionally poisoned” by government officials in North Dakota when a pilot “knowingly sprayed poisonous chemicals” over protesters’ camps.
BLATANT LIE,Claim via Social Media," A KKK billboard was put up in Johnson County, NC, for Donald Trump’s rally."
FALSE,Claim by Get Georgia Right PAC, Claims that “widespread illegal ballot harvesting” elected Georgia’s two Democratic U.S. senators.
FALSE,(International, Ukraine is the money laundering and child sex trafficking “capital of the world”
MOSTLY FALSE,Claim via Social Media," As with people vaccinated against COVID-19, “many people who were NOT vaccinated also experienced zero or mild symptoms.”"
BLATANT LIE,Claim via Social Media, Obamacare And Medical Coding Are Part Of A Global System Of Human Trafficking.
FALSE,Claim by the Democratic Party of Virginia, “The proposed (Virginia) House budget cuts hundreds of millions in funding for public education…”
FALSE,Claim via viral image, Photos show Sen. Marsha Blackburn flashing a “white power gesture” during a Senate hearing (or vote) on the confirmation of Ketanji Brown Jackson to the Supreme Court.
FALSE,Claim by Ron Desantis (R), New York City is “wasting taxpayer money on” billboards in Florida.
FALSE,(International, Ukrainian citizens need to be vaccinated to receive government war payment
TRUE,Claim by Amy Konfrst (D), Only 2% of K-12 students would benefit from Iowa’s school voucher bill.
BLATANT LIE,Claim via Social Media," “Sunscreens cause cancer, not the sun”; sunscreen and sunless tanning products contain cancer-causing ingredients"
BLATANT LIE,Claim by Viral Image, purportedly shows a woman wearing a Nazi shirt while attending a rally for former President Donald Trump.
FALSE,Claim by Watt Up With That," “…Seven and a half years have passed since there was any trend in global warming at all” If global warming was caused by human emissions, temperature would rise at a steady rate"
TRUE,Did he say it?," Former U.S. President Donald Trump said, “There are some people that say my greatest achievement was getting the vaccine, because the vaccine was said to take three to five years, and most people said it wasn’t going to happen.”"
MOSTLY TRUE,(International, No trees have been planted toward the coalition government’s 2018 target of one billion new trees by 2030.
FALSE,Claim by Kevin Nicholson (R)," “Over the course of two months, Tony Evers refused to remove (Curtis Schmitt Jr.) from the (state’s veterans) Board despite having the authority to do (so).”"
BLATANT LIE,Claim via Social Media," George Soros is wanted in Russia, declared a ‘global terrorist’ in China."
FALSE,Claim by J.D. Vance (R), “Joe Biden’s open border” means that there are “more Democrat voters pouring into this country.”
BLATANT LIE,Claim by Viral Post, claims Ukraine is the first country to implement the World Economic Forum’s (WEF) “Great Reset” plan by creating a social credit system and instituting universal basic income (UBI).
FALSE,Claim by Penn Progress, “John Fetterman’s a self-described democratic socialist.”
FALSE,(International, Carrying Sri Lankan flag will prevent military from shooting at protesters.
BLATANT LIE,Claim via Social Media," “With the money Elon Musk spent to buy Twitter shares, he could have given every American family $100,000 and still had enough left over to cancel all student debt.”"
BLATANT LIE,Claim via Social media, Tucker Carlson suggested photos of bodies in Ukraine could have been staged
MOSTLY FALSE,Claim by David Perdue (R), “A secret backroom deal” gave “away hundreds of millions of tax dollars to a Soros-owned company.”
BLATANT LIE,Claim by Viral Image, Claims to show Russian Foreign Minister Sergey Lavrov seated behind the desk in the Oval Office during former President Donald Trump’s term.
FALSE,Claim by Occupy Democrats, Josh Mandel doctored an image in a campaign ad but “forgot to Photoshop the hands that clearly show he put his face on the body of a Black soldier.”
FALSE,(International, Imperial College London’s REACT-LC study found catching Covid-19 in the colder winter months may be a factor in whether some people find their symptoms persisting.
BLATANT LIE,Claim via Social Media," Says Barack Obama tweeted, “Has anyone checked to make sure Donald Trump doesn’t have a Russian birth certificate?”"
BLATANT LIE,Claim by Viral Video," purportedly shows clips of audience members yelling, “F*** Joe Biden,” at President Joe Biden."
BLATANT LIE,Claim via Social Media," “Volodymyr Zelenskyy is a cousin of George Soros, Pentagon official says.”"
BLATANT LIE,Claim by USAWatchdog, Triple Covid-19 vaccinated people will develop AIDS.
FALSE,Claim by Joe Biden (D)," If Republicans ever repealed the Affordable Care Act, that would mean “100 million Americans with preexisting conditions can once again be denied health care coverage by their insurance companies.”"
BLATANT LIE,(International, Official data has confirmed 800 COVID-19 ‘vaccine deaths’ in Australia.
MOSTLY FALSE,Claim by Democratic Senatorial Campaign Committee, “Senate Republicans’ plan” would “end Social Security” and “end Medicare.”
BLATANT LIE,Claim by newspunch.com," Pfizer Documents Do Reveal Vaccinated Individuals Will Transfer COVID Shot To Unvaccinated Through Inhalation, Skin Contact"
BLATANT LIE,Claim by Marjorie Taylor Greene (R)," Lisa Murkowski, Susan Collins and Mitt Romney “are pro-pedophile.”"
MOSTLY FALSE,Claim by Occupy Democrats," Obama, Clinton and Biden were the only U.S. presidents to lower the deficit in 50 years"
FALSE,Claim by Donald Trump Jr., The FBI lost Hunter Biden’s laptop.
BLATANT LIE,(International, New Zealand Prime Minister Jacinda Ardern said that the country’s politics are less extreme than others’ because Rupert Murdoch was never allowed to set up a media outlet there.
MOSTLY FALSE,Claim by Ron Klain (D), The economy was “dead in the water when we got here. Virtually no jobs created.”
BLATANT LIE,Claim via Social Media," Fox News host Tucker Carlson asked, “What if these bodies of tortured, dead civilians were staged? What if they’re fake? What if the Ukrainian military killed them & then blamed Russia?”"
BLATANT LIE,Claim via Social Media, “The Russian army captured the U.S Major General Roger L. Cloutier Jr. … in the besieged Ukrainian Azov camp in Mariupol.”
FALSE,Claim via Social Media, By sucking the Strategic Oil Reserve dry we’ve lowered gas prices by $.014
MOSTLY TRUE,Claim via Social Media," In 2022, Tennessee Republicans supported a piece of legislation that would legalize child marriage."
BLATANT LIE,(International," “[T]he photos and video footage from Bucha are yet another staged event by the Kiev regime for the Western media, as it was in Mariupol with the maternity hospital, as well as in other cities.”"
FALSE,Claim by Ben Clark (D)," “The House voted to cap insulin prices to $35/month, just $420 each year! Richard Hudson voted NO.”"
BLATANT LIE,Claim by Chiropractor and Acupuncturist Bryan Ardis, “Remdesivir is proven to kill lives”
BLATANT LIE,Claim by Mike Gibbons (R)," According to the Census Bureau, “5 million more people voted than were registered to vote” in the 2020 election."
